Region;Subregion;Country;Indicator;Source;Year;Calculation1;download;Info;Count;Nombre d'enregistrements;Ratio of persons held to prisions capacity (%);RemoveNULL;Total number of persons held;Total prison capacity
Americas;Northern America;United States of America;Total prison capacity;UN-CTS;2003;;;;2011730;1;107,0%;1;2153000;2011730
Europe;Southern Europe;Kosovo under UNSCR 1244;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Europe;Northern Europe;Latvia;Total prison capacity;UN-CTS;2003;;;;9166;1;90,6%;1;8305;9166
Oceania;Polynesia;Samoa;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Southern Europe;Portugal;Total prison capacity;UN-CTS;2003;;;;12433;1;111,3%;1;13835;12433
Africa;Southern Africa;Botswana;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Africa;Western Africa;Cabo Verde;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Africa;Western Africa;Mauritania;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Eastern Europe;Czechia;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Europe;Western Europe;Austria;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Oceania;Melanesia;Fiji;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Eastern Europe;Republic of Moldova;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;11905;1;;0;;11905
Europe;Southern Europe;Slovenia;Total prison capacity;UN-CTS;2003;;;;1058;1;101,1%;1;1070;1058
Americas;Caribbean;Saint Lucia;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Southern Europe;Serbia;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Oceania;Melanesia;Vanuatu;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Eastern Europe;Romania;Total prison capacity;UN-CTS;2003;;;;37363;1;114,6%;1;42815;37363
Europe;Northern Europe;Norway;Total prison capacity;UN-CTS;2003;;;;3074;1;91,8%;1;2822;3074
Americas;South America;Chile;Total prison capacity;UN-CTS;2003;;;;27191;1;140,1%;1;38086;27191
Africa;Middle Africa;Angola;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Western Europe;Belgium;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;Western Asia;Cyprus;Total prison capacity;UN-CTS;2003;;;;274;1;131,0%;1;359;274
Asia;Western Asia;Bahrain;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Africa;Western Africa;Nigeria;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Americas;South America;Uruguay;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;5826;1;112,0%;1;6523;5826
Africa;Eastern Africa;Mauritius;Total prison capacity;UN-CTS;2003;;;;2301;1;108,4%;1;2494;2301
Asia;Southern Asia;India;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Americas;South America;Argentina;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Asia;Eastern Asia;China, Taiwan Province of China;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Western Europe;France;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Asia;Eastern Asia;Republic of Korea;Total prison capacity;UN-CTS;2003;;;;44350;1;129,3%;1;57336;44350
Asia;Western Asia;State of Palestine;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Africa;Eastern Africa;United Republic of Tanzania;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Americas;Central America;Panama;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Europe;Southern Europe;North Macedonia;Total prison capacity;UN-CTS;2003;;;;1966;1;81,8%;1;1608;1966
Europe;Southern Europe;Italy;Total prison capacity;UN-CTS;2003;;;;42688;1;128,8%;1;54993;42688
Asia;South-eastern Asia;Malaysia;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Africa;Southern Africa;Eswatini;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;3030;1;104,6%;1;3169;3030
Africa;Northern Africa;Tunisia;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Europe;Eastern Europe;Hungary;Total prison capacity;UN-CTS;2003;;;;12398;1;136,0%;1;16860;12398
Asia;Western Asia;Turkey;Total prison capacity;UN-CTS;2003;;;;71162;1;89,6%;1;63796;71162
Americas;Central America;Mexico;Total prison capacity;UN-CTS;2003;;;;147803;1;125,6%;1;185606;147803
Africa;Middle Africa;Sao Tome and Principe;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Asia;Southern Asia;Maldives;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Americas;Central America;Belize;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Oceania;Micronesia;Palau;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Americas;Central America;Costa Rica;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Americas;South America;Ecuador;Total prison capacity;UN-CTS;2003;;;;6831;1;144,4%;1;9866;6831
Asia;South-eastern Asia;Myanmar;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Oceania;Polynesia;American Samoa;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Asia;South-eastern Asia;Brunei Darussalam;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;362;1;126,2%;1;457;362
Africa;Southern Africa;Namibia;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Americas;Caribbean;Saint Kitts and Nevis;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Africa;Eastern Africa;Kenya;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Americas;South America;Colombia;Total prison capacity;UN-CTS;2003;;;;48291;1;129,0%;1;62277;48291
Africa;Northern Africa;Libya;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Americas;South America;Paraguay;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Americas;South America;Guyana;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Americas;South America;Venezuela (Bolivarian Republic of);Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Americas;Central America;Honduras;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Asia;South-eastern Asia;Philippines;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Asia;Southern Asia;Pakistan;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Oceania;Australia and New Zealand;Australia;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Asia;Western Asia;United Arab Emirates;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;4900;1;;0;;4900
Asia;Southern Asia;Iran (Islamic Republic of);Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Africa;Northern Africa;Morocco;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Americas;Caribbean;United States Virgin Islands;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Africa;Western Africa;Liberia;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Asia;Western Asia;Iraq (Kurdistan Region);Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Africa;Western Africa;Senegal;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;7090;1;;0;;7090
Oceania;Micronesia;Guam;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Africa;Eastern Africa;Djibouti;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Africa;Western Africa;Gambia;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Americas;Caribbean;Dominican Republic;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Americas;Central America;Nicaragua;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Americas;Caribbean;Bahamas;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;Southern Asia;Nepal;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Africa;Middle Africa;Cameroon;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Africa;Western Africa;Guinea;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;Western Asia;Lebanon;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;South-eastern Asia;Timor-Leste;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Africa;Western Africa;Burkina Faso;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;South-eastern Asia;Indonesia;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Africa;Western Africa;Togo;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Americas;South America;Brazil;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Africa;Eastern Africa;Seychelles;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Asia;Southern Asia;Sri Lanka;Total prison capacity;UN-CTS;2003;;;;10692;1;;0;;10692
Africa;Eastern Africa;Malawi;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Americas;Caribbean;Antigua and Barbuda;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Africa;Northern Africa;Sudan;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;12000;
Americas;South America;Peru;Total prison capacity;UN-CTS;2003;;;;19855;1;145,2%;1;28836;19855
Americas;Central America;El Salvador;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Americas;Caribbean;Grenada;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Africa;Eastern Africa;Mozambique;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Africa;Western Africa;Mali;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Africa;Western Africa;Côte d'Ivoire;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Africa;Western Africa;Sierra Leone;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;1129;1;;0;;1129
Africa;Eastern Africa;Madagascar;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;Western Asia;Kuwait;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;3700;
Asia;Southern Asia;Bangladesh;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Africa;Western Africa;Benin;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Asia;South-eastern Asia;Cambodia;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Asia;South-eastern Asia;Thailand;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Africa;Eastern Africa;Burundi;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Africa;Western Africa;Guinea-Bissau;Total prison capacity;UN-CTS;2003;;;;;1;;0;;
Africa;Eastern Africa;Zambia;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Africa;Eastern Africa;Uganda;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Americas;Central America;Guatemala;Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Americas;South America;Bolivia (Plurinational State of);Total prison capacity;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Americas;Caribbean;Haiti;Total prison capacity;WPB-ICPR;2003;;;;;1;;0;;
Oceania;Micronesia;Nauru;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Europe;Southern Europe;Holy See;Total number of persons held;UN-CTS;2003;;;;;1;;0;;
Europe;Southern Europe;Andorra;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Europe;Western Europe;Monaco;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;28;1;;0;28;21
Europe;Eastern Europe;Ukraine;Total number of persons held;UN-CTS;2003;;;;191241;1;;0;191241;175101
Europe;Northern Europe;Faeroe Islands;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;Western Asia;Georgia;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;6119;1;;0;6119;10895
Europe;Southern Europe;San Marino;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Europe;Southern Europe;Gibraltar;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Americas;Northern America;Bermuda;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;325;1;;0;325;396
Asia;Western Asia;Iraq (Central Iraq);Total number of persons held;UN-CTS;2003;;;;;1;;0;;
Asia;Western Asia;Yemen;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;Central Asia;Tajikistan;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Asia;Central Asia;Kyrgyzstan;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;16934;1;;0;16934;21584
Americas;Caribbean;Curaçao;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Europe;Northern Europe;Jersey;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Asia;Western Asia;Syrian Arab Republic;Total number of persons held;UN-CTS;2003;;;;11829;1;;0;11829;15801
Asia;Eastern Asia;Japan;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;73734;1;;0;73734;69694
Oceania;Polynesia;Cook Islands;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Americas;Caribbean;Barbados;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Africa;Southern Africa;Lesotho;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Americas;Caribbean;Puerto Rico;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;Eastern Asia;Mongolia;Total number of persons held;UN-CTS;2003;;;;;1;;0;;
Americas;Caribbean;Aruba;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Europe;Western Europe;Netherlands;Total number of persons held;UN-CTS;2003;;;;;1;;0;;
Europe;Northern Europe;United Kingdom (Northern Ireland);Total number of persons held;UN-CTS;2003;;;;;1;;0;;
Europe;Northern Europe;Isle of Man;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Asia;Eastern Asia;China, Hong Kong SAR;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;13012;1;;0;13012;11833
Europe;Eastern Europe;Russian Federation;Total number of persons held;UN-CTS;2003;;;;;1;;0;;
Europe;Northern Europe;Estonia;Total number of persons held;UN-CTS;2003;;;;4576;1;;0;4576;4953
Oceania;Melanesia;Solomon Islands;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Europe;Southern Europe;Bosnia and Herzegovina;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Americas;South America;Suriname;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Oceania;Polynesia;Tonga;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Europe;Northern Europe;Iceland;Total number of persons held;UN-CTS;2003;;;;109;1;;0;109;137
Europe;Northern Europe;Ireland;Total number of persons held;UN-CTS;2003;;;;3234;1;;0;3234;3620
Americas;Caribbean;Saint Vincent and the Grenadines;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;Central Asia;Kazakhstan;Total number of persons held;UN-CTS;2003;;;;;1;;0;;
Asia;Eastern Asia;China, Macao SAR;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;Central Asia;Uzbekistan;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Africa;Eastern Africa;Zimbabwe;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;21125;1;;0;21125;17530
Asia;Western Asia;Israel;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;12228;1;;0;12228;12155
Europe;Eastern Europe;Bulgaria;Total number of persons held;UN-CTS;2003;;;;;1;;0;;
Europe;Northern Europe;Lithuania;Total number of persons held;UN-CTS;2003;;;;8063;1;;0;8063;9578
Americas;Caribbean;Trinidad and Tobago;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Asia;Western Asia;Jordan;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Europe;Eastern Europe;Belarus;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;48593;1;;0;48593;33500
Europe;Southern Europe;Montenegro;Total number of persons held;UN-CTS;2003;;;;741;1;;0;741;894
Asia;Western Asia;Armenia;Total number of persons held;UN-CTS;2003;;;;;1;;0;;
Europe;Eastern Europe;Poland;Total number of persons held;UN-CTS;2003;;;;79281;1;;0;79281;69954
Asia;Central Asia;Turkmenistan;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Europe;Southern Europe;Albania;Total number of persons held;UN-CTS;2003;;;;2561;1;;0;2561;2389
Americas;Caribbean;Jamaica;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Europe;Western Europe;Switzerland;Total number of persons held;UN-CTS;2003;;;;4842;1;;0;4842;6439
Oceania;Micronesia;Micronesia (Federated States of);Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Africa;Northern Africa;Algeria;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;39806;1;;0;39806;31385
Europe;Western Europe;Germany;Total number of persons held;UN-CTS;2003;;;;80829;1;;0;80829;78753
Oceania;Australia and New Zealand;New Zealand;Total number of persons held;UN-CTS;2003;;;;;1;;0;;
Americas;Caribbean;British Virgin Islands;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Europe;Eastern Europe;Slovakia;Total number of persons held;UN-CTS;2003;;;;8873;1;;0;8873;9733
Americas;Northern America;Canada;Total number of persons held;UN-CTS;2003;;;;34153;1;;0;34153;37473
Europe;Southern Europe;Croatia;Total number of persons held;UN-CTS;2003;;;;2805;1;;0;2805;3154
Europe;Southern Europe;Malta;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;278;1;;0;278;480
Asia;South-eastern Asia;Singapore;Total number of persons held;UN-CTS;2003;;;;17375;1;;0;17375;12370
Asia;Western Asia;Azerbaijan;Total number of persons held;UN-CTS;2003;;;;;1;;0;;
Europe;Southern Europe;Spain;Total number of persons held;UN-CTS;2003;;;;56096;1;;0;56096;45438
Americas;Caribbean;Anguilla;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Europe;Northern Europe;United Kingdom (England and Wales);Total number of persons held;UN-CTS;2003;;;;73657;1;;0;73657;68178
Europe;Northern Europe;Sweden;Total number of persons held;UN-CTS;2003;;;;6755;1;;0;6755;6317
Europe;Northern Europe;United Kingdom (Scotland);Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;6606;1;;0;6606;6395
Africa;Eastern Africa;Rwanda;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Europe;Northern Europe;Denmark;Total number of persons held;UN-CTS;2003;;;;3641;1;;0;3641;3891
Oceania;Micronesia;Kiribati;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Europe;Western Europe;Luxembourg;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Oceania;Micronesia;Marshall Islands;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
Europe;Southern Europe;Greece;Total number of persons held;UN-CTS/WPB-ICPR;2003;;;;;1;;0;;
Oceania;Micronesia;Northern Mariana Islands;Total number of persons held;WPB-ICPR;2003;;;;;1;;0;;
