Region,Sub region,Country,Indicator,Year,Comments field,Gender,ID,Question Number,Survey source,Type of source,Year Of Source,Value
Africa,Western Africa,Cabo Verde,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,37,7.1.4,"InquΘrito Multiobjectivo Contφnuo 2013. Estatisticas de Governanτa, Paz e Seguranτa (SHaSA)",NSO,2016,1.20
Africa,Western Africa,Cabo Verde,Prevalence Rate of Bribery - Male,2016,,Male,38,7.1.4a,"InquΘrito Multiobjectivo Contφnuo 2013. Estatisticas de Governanτa, Paz e Seguranτa (SHaSA)",NSO,2013,1.60
Africa,Western Africa,Cabo Verde,Prevalence Rate of Bribery - Female,2016,,Female,39,7.1.4b,"InquΘrito Multiobjectivo Contφnuo 2013. Estatisticas de Governanτa, Paz e Seguranτa (SHaSA)",NSO,2016,0.90
Africa,Western Africa,Cabo Verde,Prevalence Rate of Bribery - Male & Female,2019,,Male & Female,40,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2019",GCB,2019,8.00
Asia,South-Eastern Asia,Cambodia,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,41,7.1.4,"Global Corruption Barometer, Asia 2020",GCB,2020,40.00
Asia,South-Eastern Asia,Cambodia,Prevalence Rate of Bribery - Male & Female,2020,,Male & Female,42,7.1.4,"Global Corruption Barometer, Asia 2020",GCB,2020,37.00
Africa,Middle Africa,Cameroon,Prevalence Rate of Bribery - Male & Female,2015,,Male & Female,43,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2015",GCB,2015,48.00
Africa,Middle Africa,Cameroon,Prevalence Rate of Bribery - Male & Female,2018,,Male & Female,44,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2019",GCB,2019,48.00
Americas,South America,Chile,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,45,7.1.4,"Global Corruption Barometer, People and Corruption: Latin America and the Caribbean 2017",GCB,2017,22.00
Americas,South America,Chile,Prevalence Rate of Bribery - Male & Female,2019,,Male & Female,46,7.1.4,"Global Corruption Barometer, Latin America and the Caribbean 2019",GCB,2019,13.00
Asia,Eastern Asia,China,Prevalence Rate of Bribery - Male & Female,2015,,Male & Female,47,7.1.4,"Global Corruption Barometer, People and Corruption: Asia Pacific 2017",GCB,2017,26.00
Asia,Eastern Asia,China,Prevalence Rate of Bribery - Male & Female,2020,,Male & Female,48,7.1.4,"Global Corruption Barometer, Asia 2020",GCB,2020,28.00
Asia,Eastern Asia,"China, Hong Kong Special Administrative Region",Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,49,7.1.4,"Global Corruption Barometer, People and Corruption: Asia Pacific 2017",GCB,2017,2.00
Asia,Eastern Asia,"China, Taiwan Province of China",Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,50,7.1.4,"Global Corruption Barometer, People and Corruption: Asia Pacific 2017",GCB,2017,6.00
Asia,Eastern Asia,"China, Taiwan Province of China",Prevalence Rate of Bribery - Male & Female,2020,,Male & Female,51,7.1.4,"Global Corruption Barometer, Asia 2020",GCB,2020,17.00
Americas,South America,Colombia,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,52,7.1.4,"Global Corruption Barometer, People and Corruption: Latin America and the Caribbean 2017",GCB,2017,30.00
Americas,South America,Colombia,Prevalence Rate of Bribery - Male & Female,2019,,Male & Female,53,7.1.4,"Global Corruption Barometer, Latin America and the Caribbean 2019",GCB,2019,20.00
Americas,Central America,Costa Rica,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,54,7.1.4,"Global Corruption Barometer, People and Corruption: Latin America and the Caribbean 2017",GCB,2017,24.00
Americas,Central America,Costa Rica,Prevalence Rate of Bribery - Male & Female,2019,,Male & Female,55,7.1.4,"Global Corruption Barometer, Latin America and the Caribbean 2019",GCB,2019,7.00
Africa,Western Africa,C⌠te d'Ivoire,Prevalence Rate of Bribery - Male & Female,2014,,Male & Female,56,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2015",GCB,2015,34.00
Africa,Western Africa,C⌠te d'Ivoire,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,57,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2019",GCB,2019,34.00
Europe,Southern Europe,Croatia,Prevalence Rate of Bribery - Male & Female,2010,,Male & Female,58,7.1.4,"UNODC and Institute of Economics, Zagreb (EIZ) 2011",UNODC Research,2011,11.20
Europe,Southern Europe,Croatia,Prevalence Rate of Bribery - Male,2010,Adult citizen age 18-64,Male,59,7.1.4a,"UNODC and Institute of Economics, Zagreb (EIZ) 2011",UNODC Research,2011,12.90
Europe,Southern Europe,Croatia,Prevalence Rate of Bribery - Female,2010,Adult citizen age 18-64,Female,60,7.1.4b,"UNODC and Institute of Economics, Zagreb (EIZ) 2011",UNODC Research,2011,9.60
Europe,Southern Europe,Croatia,Prevalence Rate of Bribery - Male & Female,2015,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,61,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,6.14
Asia,Western Asia,Cyprus,Prevalence Rate of Bribery - Male & Female,2015,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,62,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,1.45
Europe,Eastern Europe,Czechia,Prevalence Rate of Bribery - Male & Female,2016,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,63,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,6.53
Africa,Middle Africa,Democratic Republic of the Congo,Prevalence Rate of Bribery - Male & Female,2018,,Male & Female,64,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2019",GCB,2019,80.00
Americas,Caribbean,Dominican Republic,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,65,7.1.4,"Global Corruption Barometer, People and Corruption: Latin America and the Caribbean 2017",GCB,2017,46.00
Americas,Caribbean,Dominican Republic,Prevalence Rate of Bribery - Male & Female,2019,,Male & Female,66,7.1.4,"Global Corruption Barometer, Latin America and the Caribbean 2019",GCB,2019,23.00
Americas,South America,Ecuador,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,67,7.1.4,"Global Corruption Barometer, People and Corruption: Asia Pacific 2017",GCB,2017,28.00
Africa,Northern Africa,Egypt,Prevalence Rate of Bribery - Male & Female,2015,,Male & Female,68,7.1.4,"Global Corruption Barometer, People and Corruption: Middle East & North Africa Survey 2016",GCB,2016,50.00
Americas,Central America,El Salvador,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,69,7.1.4,"Global Corruption Barometer, People and Corruption: Latin America and the Caribbean 2017",GCB,2017,31.00
Americas,Central America,El Salvador,Prevalence Rate of Bribery - Male & Female,2019,,Male & Female,70,7.1.4,"Global Corruption Barometer, Latin America and the Caribbean 2019",GCB,2019,14.00
Europe,Northern Europe,Estonia,Prevalence Rate of Bribery - Male & Female,2004,,Male & Female,71,7.1.4,,UN-CTS,,3.30
Europe,Northern Europe,Estonia,Prevalence Rate of Bribery - Male & Female,2009,,Male & Female,72,7.1.4,,UN-CTS,,0.50
Europe,Northern Europe,Estonia,Prevalence Rate of Bribery - Male & Female,2015,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,73,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,3.63
Africa,Southern Africa,Eswatini,Prevalence Rate of Bribery - Male & Female,2015,,Male & Female,74,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2015",GCB,2015,9.00
Africa,Southern Africa,Eswatini,Prevalence Rate of Bribery - Male & Female,2018,,Male & Female,75,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2019",GCB,2019,17.00
Europe,Western Europe,France,Prevalence Rate of Bribery - Male & Female,2015,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,76,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,1.45
Europe,Western Europe,France,Prevalence Rate of Bribery - Male & Female,2018,,Male & Female,77,7.1.4,Service Statistique MinistΘriel de la SΘcuritΘ IntΘrieure (SSMSI),MoI,2018,0.10
Africa,Middle Africa,Gabon,Prevalence Rate of Bribery - Male & Female,2017,,Male & Female,78,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2019",GCB,2019,35.00
Africa,Western Africa,Gambia,Prevalence Rate of Bribery - Male & Female,2018,,Male & Female,79,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2019",GCB,2019,21.00
Asia,Western Asia,Georgia,Prevalence Rate of Bribery - Male & Female,2016,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,80,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,5.08
Europe,Western Europe,Germany,Prevalence Rate of Bribery - Male & Female,2016,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,81,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,2.18
Africa,Western Africa,Ghana,Prevalence Rate of Bribery - Male & Female,2014,,Male & Female,82,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2015",GCB,2015,36.00
Africa,Western Africa,Ghana,Prevalence Rate of Bribery - Male & Female,2017,,Male & Female,83,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2019",GCB,2019,33.00
Europe,Southern Europe,Greece,Prevalence Rate of Bribery - Male & Female,2015,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,84,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,7.26
Americas,Central America,Guatemala,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,85,7.1.4,"Global Corruption Barometer, People and Corruption: Latin America and the Caribbean 2017",GCB,2017,28.00
Americas,Central America,Guatemala,Prevalence Rate of Bribery - Male & Female,2019,,Male & Female,86,7.1.4,"Global Corruption Barometer, Latin America and the Caribbean 2019",GCB,2019,25.00
Africa,Western Africa,Guinea,Prevalence Rate of Bribery - Male & Female,2015,,Male & Female,87,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2015",GCB,2015,35.00
Africa,Western Africa,Guinea,Prevalence Rate of Bribery - Male & Female,2017,,Male & Female,88,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2019",GCB,2019,42.00
Americas,South America,Guyana,Prevalence Rate of Bribery - Male & Female,2019,,Male & Female,89,7.1.4,"Global Corruption Barometer, Latin America and the Caribbean 2019",GCB,2019,27.00
Americas,Central America,Honduras,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,90,7.1.4,"Global Corruption Barometer, People and Corruption: Latin America and the Caribbean 2017",GCB,2017,33.00
Americas,Central America,Honduras,Prevalence Rate of Bribery - Male & Female,2019,,Male & Female,91,7.1.4,"Global Corruption Barometer, Latin America and the Caribbean 2019",GCB,2019,28.00
Europe,Eastern Europe,Hungary,Prevalence Rate of Bribery - Male & Female,2016,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,92,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,15.97
Asia,Southern Asia,India,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,93,7.1.4,"Global Corruption Barometer, People and Corruption: Asia Pacific 2017",GCB,2017,69.00
Asia,Southern Asia,India,Prevalence Rate of Bribery - Male & Female,2020,,Male & Female,94,7.1.4,"Global Corruption Barometer, Asia 2020",GCB,2020,39.00
Asia,South-Eastern Asia,Indonesia,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,95,7.1.4,"Global Corruption Barometer, People and Corruption: Asia Pacific 2017",GCB,2017,32.00
Asia,South-Eastern Asia,Indonesia,Prevalence Rate of Bribery - Male & Female,2020,,Male & Female,96,7.1.4,"Global Corruption Barometer, Asia 2020",GCB,2020,30.00
Asia,Western Asia,Iraq,Prevalence Rate of Bribery - Male & Female,2011,,Male & Female,97,7.1.4,"UNODC and Central Statistical Office, Kurdistan Region Statistical Office and Commission of Integrity (2012) Corruption and integrity challenges in the public sector of Iraq",UNODC/NSO,2012,11.60
Asia,Western Asia,Iraq,Prevalence Rate of Bribery - Male,2011,,Male,98,7.1.4a,"UNODC and Central Statistical Office, Kurdistan Region Statistical Office and Commission of Integrity (2012) Corruption and integrity challenges in the public sector of Iraq",UNODC/NSO,2012,13.30
Asia,Western Asia,Iraq,Prevalence Rate of Bribery - Female,2011,,Female,99,7.1.4b,"UNODC and Central Statistical Office, Kurdistan Region Statistical Office and Commission of Integrity (2012) Corruption and integrity challenges in the public sector of Iraq",UNODC/NSO,2012,9.90
Europe,Southern Europe,Italy,Prevalence Rate of Bribery - Male & Female,2016,Percentage of households,Male & Female,100,7.1.4,"Global Corruption Barometer, People and Corruption: Asia Pacific 2017",UN-CTS,,1.20
Americas,Caribbean,Jamaica,Prevalence Rate of Bribery - Male & Female,2019,Percentage of households,Male & Female,101,7.1.4,Jamaica National Crime Victimization Survey (JNCVS) 2019,NSO,2019,6.50
Asia,Eastern Asia,Japan,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,102,7.1.4,"Global Corruption Barometer, People and Corruption: Asia Pacific 2017",GCB,2017,0.20
Asia,Eastern Asia,Japan,Prevalence Rate of Bribery - Male & Female,2020,,Male & Female,103,7.1.4,"Global Corruption Barometer, Asia 2020",GCB,2020,2.00
Asia,Western Asia,Jordan,Prevalence Rate of Bribery - Male & Female,2014,,Male & Female,104,7.1.4,"Global Corruption Barometer, People and Corruption: Middle East & North Africa Survey 2016",GCB,2016,4.00
Asia,Western Asia,Jordan,Prevalence Rate of Bribery - Male & Female,2019,,Male & Female,105,7.1.4,"Global Corruption Barometer, People and Corruption: Middle East & North Africa Survey 2019",GCB,2019,4.00
Asia,Central Asia,Kazakhstan,Prevalence Rate of Bribery - Male & Female,2016,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,106,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,21.05
Africa,Eastern Africa,Kenya,Prevalence Rate of Bribery - Male & Female,2014,,Male & Female,107,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2015",GCB,2015,37.00
Africa,Eastern Africa,Kenya,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,108,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2019",GCB,2019,45.00
Europe,Southern Europe,Kosovo under UNSCR 1244,Prevalence Rate of Bribery - Male & Female,2010,Adult citizen age 18-64,Male & Female,109,7.1.4,UNODC and Prism Research (2011) Corruption in Kosovo: Bribery as experienced by the population,UNODC Research,2011,11.10
Europe,Southern Europe,Kosovo under UNSCR 1244,Prevalence Rate of Bribery - Male,2010,Adult citizen age 18-64,Male,110,7.1.4a,UNODC and Prism Research (2011) Corruption in Kosovo: Bribery as experienced by the population,UNODC Research,2011,11.80
Europe,Southern Europe,Kosovo under UNSCR 1244,Prevalence Rate of Bribery - Female,2010,Adult citizen age 18-64,Female,111,7.1.4b,UNODC and Prism Research (2011) Corruption in Kosovo: Bribery as experienced by the population,UNODC Research,2011,10.30
Europe,Southern Europe,Kosovo under UNSCR 1244,Prevalence Rate of Bribery - Male & Female,2015,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,112,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,9.16
Asia,Central Asia,Kyrgyzstan,Prevalence Rate of Bribery - Male & Female,2015,,Male & Female,113,7.1.4,,UN-CTS,,14.20
Asia,Central Asia,Kyrgyzstan,Prevalence Rate of Bribery - Male & Female,2016,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,114,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,27.59
Europe,Northern Europe,Latvia,Prevalence Rate of Bribery - Male & Female,2015,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,115,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,10.89
Asia,Western Asia,Lebanon,Prevalence Rate of Bribery - Male & Female,2014,,Male & Female,116,7.1.4,"Global Corruption Barometer, People and Corruption: Middle East & North Africa Survey 2016",GCB,2016,28.00
Asia,Western Asia,Lebanon,Prevalence Rate of Bribery - Male & Female,2019,,Male & Female,117,7.1.4,"Global Corruption Barometer, People and Corruption: Middle East & North Africa Survey 2019",GCB,2019,41.00
Africa,Southern Africa,Lesotho,Prevalence Rate of Bribery - Male & Female,2014,,Male & Female,118,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2015",GCB,2015,5.00
Africa,Southern Africa,Lesotho,Prevalence Rate of Bribery - Male & Female,2017,,Male & Female,119,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2019",GCB,2019,14.00
Africa,Western Africa,Liberia,Prevalence Rate of Bribery - Male & Female,2015,,Male & Female,120,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2015",GCB,2015,69.00
Africa,Western Africa,Liberia,Prevalence Rate of Bribery - Male & Female,2018,,Male & Female,121,7.1.4,"Global Corruption Barometer, People and Corruption: Africa Survey 2019",GCB,2019,53.00
Europe,Northern Europe,Lithuania,Prevalence Rate of Bribery - Male & Female,2005,,Male & Female,122,7.1.4,"The survey ""Lithuanian Map of Corruption""",SST,2005,27.00
Europe,Northern Europe,Lithuania,Prevalence Rate of Bribery - Male & Female,2007,,Male & Female,123,7.1.4,"The survey ""Lithuanian Map of Corruption""",SST,2007,28.10
Europe,Northern Europe,Lithuania,Prevalence Rate of Bribery - Male & Female,2008,,Male & Female,124,7.1.4,"The survey ""Lithuanian Map of Corruption""",SST,2008,24.00
Europe,Northern Europe,Lithuania,Prevalence Rate of Bribery - Male & Female,2011,,Male & Female,125,7.1.4,"The survey ""Lithuanian Map of Corruption""",SST,2011,22.40
Europe,Northern Europe,Lithuania,Prevalence Rate of Bribery - Male & Female,2014,,Male & Female,126,7.1.4,"The survey ""Lithuanian Map of Corruption""",SST,2014,24.30
Europe,Northern Europe,Lithuania,Prevalence Rate of Bribery - Male & Female,2015,The value provided by the original source (Global Corruption Barometer) was adjusted to reflect personal experience of bribery only and not at the household level,Male & Female,127,7.1.4,"Global Corruption Barometer, People and Corruption: Europe and Central Asia (2016)",GCB UNODC Adjusted,2016,17.42
Europe,Northern Europe,Lithuania,Prevalence Rate of Bribery - Male & Female,2016,,Male & Female,128,7.1.4,"The survey ""Lithuanian Map of Corruption""",SST,2016,15.50
Europe,Northern Europe,Lithuania,Prevalence Rate of Bribery - Male & Female,2018,,Male & Female,129,7.1.4,"The survey ""Lithuanian Map of Corruption""",SST,2018,11.60
