pageid,ns,title,summary
9166749,0,Imanol Arias,"Imanol Arias est un acteur espagnol né en 1956. Il a joué au cinéma pour Pedro Almodóvar (deux fois), Mario Camus et Vicente Aranda (cinq fois) en Espagne, María Luisa Bemberg, Marcelo Piñeyro et Daniel Burman en Argentine. Son rôle de délinquant en fuite dans El Lute, marche ou crève lui a valu plusieurs prix, dont la Coquille d'argent du meilleur acteur à Saint-Sébastien et le Fotogramas de Plata.
À la télévision, il est notamment connu pour interpréter Antonio Alcántara dans la série Cuéntame.
Il est cité dans l'affaire des Panama Papers en avril 2016."
56732710,0,Gustavo Arribas,
1571884,0,Michael Ashcroft,"Michael Ashcroft, né le 4 mars 1946, est un homme d'affaires et un homme politique de nationalités britannique et bélizienne. Selon le Sunday Times, il possède en 2017 la 95e plus grande fortune du Royaume-Uni, estimée à 1,35 milliard de livres sterling."
2840550,0,Mattias Asper,Mattias Asper (né le 20 mars 1974 à Sölvesborg) est un ancien gardien de but suédois du football qui a commencé sa carrière dans le club suédois de Mjällby AIF.
13490069,0,Richard Attias,"Richard Attias est un homme d'affaires marocain né à Fès le 19 novembre 1959.
Publicitaire, Richard Attias est connu pour sa longue carrière dans les affaires. Ancien président de Publicis Events Worldwide, il a ensuite fondé Richard Attias & Associates, une société basée à New York et spécialisée dans la communication d’influence et l’organisation de séminaires internationaux."
50242606,0,Gérard Autajon,"Gérard Autajon, né le 1er mai 1953, est un homme d'affaires français, PDG de l'entreprise d'emballages Autajon. Il est également connu pour sa mention dans le scandale des Panama Papers et sa condamnation pour fraude fiscale."
1828,0,Amitabh Bachchan,"Amitabh Bachchan (अमिताभ बच्चन), né le 11 octobre 1942 à Allahabad (Uttar Pradesh), est un acteur indien.
Grande vedette du cinéma de Bollywood, il a tourné dans plus de 200 films."
50077295,0,Shishir Bajoria,
414434,0,Tony Baldry,"Antony Brian Baldry, né le 10 juillet 1950, est un homme politique britannique du Parti conservateur. Il est député de Banbury de 1983 à 2015."
20492072,0,Patrick Balkany,
35183107,0,Bandar bin Khalid Al Saud (born 1965),
735982,0,Bank Leumi,"La Bank Leumi (לאומי, « banque nationale ») est une banque israélienne, qui a été créée en 1952, après avoir repris tous les actifs de l'Anglo-Palestine Bank fondée en 1902. Elle fait office de banque centrale avant la création de la Banque d'Israël en 1955.
Elle est la neuvième plus grande banque du Moyen-Orient[réf. nécessaire]."
44002461,0,Arron Banks,"Arron Fraser Andrew Banks ou Arron Banks (né en mars 1966 est un homme d'affaires britannique ayant fait fortune dans le domaine des assurances et copropriétaires de mines de diamants en Afrique du Sud. Europhobe, il devient dans les années 2010 donateur politique majeur du parti conservateur puis de l'extrême droite anglaise (Parti pour l'indépendance du Royaume-Uni dit UKIP), et il aide grandement Nigel Farage à faire campagne pour que la Grande-Bretagne quitte l'Union européenne. Il détient le record du « plus grand donateur financier de l'histoire politique britannique ».
Banks co-fonde en juillet 2015, avec Richard Tice, le parti pro-Brexit Leave.EU. Ce groupe n'est pas retenu comme parti officiel de la campagne Pro-Brexit par la Commission électorale (c'est Vote Leave qui sera choisi). Mais sa forte présence et sa capacité à cibler les électeurs potentiels sur les réseaux sociaux ont sans doute eu un rôle décisif dans le vote des Britanniques pour le Brexit. En 2018, ce groupe affirmait réunir 90 000 membres et être suivi par 1,4 million d'abonnés sur les réseaux sociaux et selon Banks une vidéo de Leave.EU a eu 14 millions de vues et les statistiques de campagne indiqueraient que son organisation a eu plus d'écho sur les médias sociaux que les travaillistes, conservateurs et libéraux réunis.
Banks aurait versé plus de 8 millions de livres sterling à la campagne du Leave (c’est-à-dire pro-Brexit), soit un million de plus que le plafond autorisé pour un seul parti de campagne. Une commission parlementaire évoquait 9,6 millions de livres mi-2018. Une autre estimation est de 12 millions de livres sterling, en argent et valeur de services, apporté à cette campagne. Dans tous les cas, il est le plus grand donateur politique de l'histoire du Royaume-Uni.
En novembre 2018, la National Crime Agency (NCA) ouvre une enquête criminelle à son encontre, en raison de préoccupations quant aux origines de cet argent (société offshore et argent russe ont été évoqués). En septembre 2019, la NCA, faute de « preuve que des infractions pénales aient été commises», abandonne ses enquêtes sur Banks d'une part, et sur Leave.UE d'autre part.
Des soupçons de corruption ou de collusion avec la Russie, ont pour origine plusieurs réunions ayant eu lieu entre Banks avec des représentants de l'ambassade de Russie au Royaume-Uni à l'approche du référendum sur le Brexit. Il se serait vu offrir à ces occasions des opportunités d'affaires en Russie,. Niant tout acte répréhensible, il a déclaré: « Il n'y a pas eu d'argent russe ni aucune ingérence d'aucune sorte ». En mai 2020, la Commission électorale anglaise dit ne pas avoir trouvé de preuves d'infraction à la loi électorale durant de la campagne référendaire de 2016 qui a conduit au Brexit. Banks se déclare « complètement blanchi » (« completely vindicated ») après avoir dit-il conclu un accord avec la Commission électorale.
Fin 2016, il fait paraitre un livre jouant de son image de mauvais-garçon. Intitulé The Bad Boys of Brexit : Tales of Mischief, Mayhem & Guerrilla Warfare in the EU Referendum Campaign (Les mauvais garçons du Brexit : récits de méfaits, de chaos et de guérilla dans la campagne référendaire de l'UE), il a été rédigé dans le style d'un journal intime par une journaliste politique : Isabel Oakeshott (connue pour être pro-Brexit),. Arron Banks semble être à l'origine du qualificatif autoproclamé de « Bad boy » qui s'est étendu à certains brexiters et outre-atlantique à Trump, aux trumpistes et à Bolsonaro, qui semblent tous avoir tenté de fausser les votes en leur faveur, en appliquant au big data des moyens d'intelligence artificielle. En 2021, ces bad-boys sont mis en difficulté par la défaite de Trump et le scandale Facebook-Cambridge Analytica/AggregateIQ.
Banks a affirmé qu'il a été suspendu de l'UKIP en mars 2017, selon l'UKIP c'est son adhésion qui avait expiré."
10934571,0,Joaquim Barbosa,"Joaquim Barbosa, né le 7 octobre 1954 à Paracatu (Brésil), est un magistrat brésilien et président du Tribunal suprême fédéral de 2012 à 2014."
298988,0,David and Frederick Barclay,"David Barclay, né le 27 octobre 1934 à Hammersmith, Londres, et mort le 10 janvier 2021, et Frederick Barclay, né le 27 octobre 1934 à Hammersmith, sont deux frères jumeaux et hommes d'affaires britanniques. Ils sont présents dans la presse, possédant plusieurs journaux et magazines britanniques, ainsi que dans la vente à distance et dans l'hôtellerie. Le Sunday Times  estimait leur fortune en 2007 à £7,2 milliards de livres sterling, les plaçant dans les quarante plus grandes fortunes du Royaume-Uni. 
Les deux frères ont la réputation d'éviter toute publicité et sont souvent décrits comme vivant reclus. Le fils de David, Aidan Barclay, gère les affaires du groupe familial."
22572396,0,Bjarni Benediktsson (born 1970),"Reykjavik (en islandais : Reykjavík /ˈreiːcaˌviːk/ , littéralement « Baie-des-Fumées ») est la capitale de l'Islande. Elle se situe à environ 250 km au sud du cercle polaire arctique, ce qui en fait la capitale la plus septentrionale d'un État souverain (la capitale du Groenland, Nuuk, étant située quelques kilomètres plus au nord). Elle s'étale entre deux fjords, dans une zone comptant de nombreuses sources chaudes, le long d'une baie (vík en islandais). Elle est ainsi considérée comme la ville la « plus verte du monde » : on y compte environ 410 m2 d'espaces verts par habitant.
C'est la ville la plus peuplée du pays, avec environ 130 000 habitants. Avec l'agglomération, elle regroupe pratiquement les deux tiers de la population de l'île, soit environ 220 000 habitants.
Son emplacement se situe à l'endroit même où s'installèrent en 874 les premiers colons conduits par Ingólfur Arnarson. Un groupement de 302 habitants ayant eu lieu en 1786 est à l'origine de la municipalité d'aujourd'hui.
C'est à Reykjavik que sont concentrées les activités politiques, industrielles, commerciales, et culturelles du pays."
1896352,0,Tomáš Berdych,"Tomáš Berdych , né le 17 septembre 1985 à Valašské Meziříčí, est un joueur de tennis tchèque, professionnel entre 2002 et 2019.
Il a remporté treize titres en simple sur le circuit ATP dont le Masters 1000 de Paris-Bercy en 2005. Sa meilleure performance dans un tournoi du Grand Chelem est une finale à Wimbledon en 2010, perdue face à l'Espagnol Rafael Nadal.
Il a également remporté la Coupe Davis avec Radek Štěpánek en 2012 et 2013."
26909,0,Silvio Berlusconi,"Silvio Berlusconi /ˈsilvjo berluˈskoːni/ , longtemps surnommé il Cavaliere, né le 29 septembre 1936 à Milan, est un homme d'affaires et homme d'État italien, président du Conseil des ministres de 1994 à 1995, de 2001 à 2006 et de 2008 à 2011.
Fondateur et dirigeant de la holding financière Fininvest, puis du groupe de communication Mediaset, Silvio Berlusconi est un des hommes les plus riches d'Italie avec une fortune estimée à plusieurs milliards d'euros.
Son mouvement politique de centre droit Forza Italia, tout juste créé dans le contexte de l'opération Mains propres, remporte les élections générales de 1994, ce qui lui permet d'être élu député puis, dans la foulée, d'être nommé président du Conseil des ministres. Son gouvernement, fragile, tombe huit mois plus tard, à cause du retrait de la Ligue du Nord de la coalition.
En 2001, après la victoire de l'alliance de droite aux élections générales, il est à nouveau appelé à la tête du gouvernement ; il dirige deux gouvernements successifs jusqu'en 2006, lorsqu'il est défait de justesse par la coalition de Romano Prodi. Les élections générales de 2008 lui permettent d'accéder à la présidence du Conseil pour la troisième fois. Il est contraint de quitter ses fonctions fin 2011, sur pression des marchés et de chefs d'État, en pleine crise économique nationale et européenne. 
À l'issue des élections générales de 2013, la coalition de centre droit qu'il conduit talonne le centre gauche, ce qui rend difficile la formation d'un nouveau gouvernement. Il est déchu de son mandat de sénateur cette même année, à la suite d'une condamnation pour fraude fiscale. Il relance alors Forza Italia, qui avait été dissoute dans Le Peuple de la liberté (PdL) en 2009. Lors des élections générales de 2018, Forza Italia est pour la première fois devancée par la Ligue du Nord. Il est élu député européen en 2019.
Troisième chef de gouvernement à la plus grande longévité depuis l'unification de l'Italie en 1861, il détient le record de longévité à la présidence du Conseil sous la République italienne (plus de neuf ans). Il a profondément marqué la vie politique italienne, que ce soit par son style de gouvernement ou par les scandales et mises en cause judiciaires qui ont émaillé son parcours."
56835219,0,Javier Bertucci,"Javier Bertucci, né le 16 novembre 1969, est un pasteur évangélique, homme d'affaires et homme politique vénézuélien. Il est candidat à l'élection présidentielle vénézuélienne de 2018."
193737,0,Benazir Bhutto,"Benazir Bhutto (en ourdou : بینظیر بھٹو ; en sindhi : بينظير ڀٽو ; /beːnəziːr bɦʊʈːoː/), née le 21 juin 1953 à Karachi et morte assassinée le 27 décembre 2007 à Rawalpindi, est une femme d'État pakistanaise. Elle est Première ministre de 1988 à 1990 et de 1993 à 1996.
Elle est issue d’une riche famille aristocratique, influente en politique. Son père, Zulfikar Ali Bhutto, fondateur du Parti du peuple pakistanais (PPP, socialiste), dirige le pays de 1971 à 1977. Après le coup d'État ayant évincé son père, qui est ensuite exécuté par le régime militaire de Muhammad Zia-ul-Haq, Benazir Bhutto se hisse à la tête de l'opposition et revendique l'héritage de son père en prenant le contrôle du PPP.
Benazir Bhutto devient la première femme élue démocratiquement à la tête d'un pays musulman à la suite des élections législatives de 1988, et engage un tournant libéral au sein du PPP. Elle est destituée par le président Ghulam Ishaq Khan en 1990 et perd les élections de la même année. Elle retrouve la tête du gouvernement après le scrutin législatif de 1993. Accusée de corruption et violences claniques, elle termine son second mandat en 1996 avec un ordre de destitution du président Farooq Leghari. Afin d'échapper aux poursuites judiciaires, elle s'exile à Dubaï puis à Londres.
Ayant obtenu du président Pervez Musharraf une amnistie, elle rentre au Pakistan pour participer aux élections législatives de 2008. Alors qu’elle s’associe avec Nawaz Sharif contre Musharraf, elle est tuée lors d'un attentat-suicide après un meeting à Rawalpindi. Les élections sont finalement remportées par son parti et son mari, Asif Ali Zardari, devient ensuite président de la République."
50157746,0,Miguel Blesa,
10946169,0,Louise Blouin,
5184765,0,Pedro Bordaberry,"Juan Pedro Bordaberry Herrán, né le 28 avril 1960 à Montevidéo, est un avocat et homme politique uruguayen.
La famille Bordaberry a une longue relation avec la politique ; son grand-père Domingo Bordaberry était sénateur, et son père Juan María Bordaberry fut président et dictateur (1972-1976).
Appartenant au Parti Colorado, Pedro Bordaberry a fait partie du gouvernement de Jorge Batlle en tant que Ministre du Tourisme de 2001 à 2005. Il a aussi été désigné Ministre de l'Industrie et de l'Energie (2002-2003) et Ministre des Sports et de la Jeunesse (2003-2004).
Il s'est présenté en 2014 à la Présidence de la République en 2014. Obtenant seulement 12,89% des voix au premier tour, il se situe derrière le Front Large (es. Fronte Amplio) de Tabaré Vázquez (47,81%) et le Parti National de Luis Alberto Lacalle Pou (30,88%) et ne permet donc pas au Parti Colorado de passer au second tour.
Il est cité dans l'affaire des Panama Papers en avril 2016."
47817765,0,Elias Bou Saab,"Elias Bou Saab (transcription alternative Abu Saab), né le 8 septembre 1967 à Dhour Choueir, est un homme politique libanais, conseiller du président à la Coopération internationale.
Il a été ministre de l'Éducation du gouvernement Tammam Salam où il représente, aux côtés de Gebran Bassil, le Courant patriotique libre de Michel Aoun. Il fait partie de la communauté grecque-orthodoxe. 
Il est le fondateur de l'Université américaine de Dubaï et il a financièrement soutenu la création de la télévision OTV, du site d'information Al Mada.org et de la radio Sawt Al Mada, qui sont les organes de diffusion du Courant patriotique libre. De 2009 à 2012 il a été maire de Dhour Choueir. Son épouse est la chanteuse Julia Boutros,.
Lors de la visite du premier ministre britannique David Cameron au Liban en septembre 2015, Elias Bou Saab a déclaré que jusqu'à 2 % des réfugiés syriens en Europe pourraient être des djihadistes infiltrés de l'État islamique, ajoutant par la suite qu'il exprimait une intuition personnelle et ne disposait d'aucune information à ce sujet. Cette « intuition », aussitôt reprise à son compte par le leader populiste néerlandais Geert Wilders, a été contestée par les services de renseignements néerlandais (AIVD, service des renseignements extérieurs, et NCTV (en), organe chargé de la coordination de la lutte contre le terrorisme) et danois (PES) une semaine plus tard,,.
Il est cité dans l'affaire des Panama Papers en avril 2016."
50042323,0,Abdeslam Bouchouareb,"Abdeslam Bouchouareb, né le 3 juin 1952 à Aïn Kercha, dans l'actuelle wilaya d'Oum El Bouaghi, en Algérie, 
est un chef d'entreprise et homme politique algérien.
Il est ministre de l'industrie et de la restructuration de 1996 à 1997 sous la présidence de Liamine Zéroual et ministre de l'industrie et des mines de 2014 à 2017 sous la présidence de Abdelaziz Bouteflika. En fuite à l'étranger depuis 2019, il est condamné à un total de 80 ans de prison."
50135045,0,Robbyanto Budiman,
15242485,0,Paul Burrell,"Paul Burrell (né le 6 juin 1958) est un ancien fonctionnaire de la famille royale britannique. Il a d'abord été valet de chambre pour la reine Élisabeth II et ensuite majordome de Lady Diana, princesse de Galles. Depuis la mort de cette dernière en 1997, Burrell a figuré dans les médias, et a été invité en 2004 dans une émission télévisée pour célébrités.  Paul Burrell a obtenu l'Ordre royal de Victoria en novembre 1997 pour les services rendus à la famille royale.
Il est cité dans l'affaire des Panama Papers.
Il a participé à deux reprises à l’émission I'm a Celebrity… Get Me Out of Here!. La première fois en 2004 dans la version anglaise, et la deuxième fois en 2018 pour la version australienne."
20488132,0,Jérôme Cahuzac,"Jérôme Cahuzac, né le 19 juin 1952 à Talence (Gironde), est un médecin et homme politique français.
Membre du Parti socialiste (PS), il est maire de Villeneuve-sur-Lot, député et président de la commission des Finances, de l'Économie générale et du Contrôle budgétaire à l'Assemblée nationale jusqu'en 2012.
Sous la présidence de François Hollande, il exerce la fonction de ministre délégué au Budget auprès du ministre de l’Économie et des Finances, au sein des gouvernements Ayrault I et II, du 16 mai 2012 au 19 mars 2013. À cette date, il démissionne après des accusations de fraude fiscale. Il est ensuite exclu du PS et renonce à retrouver son mandat de député. 
En 2018, il est condamné en appel pour fraude fiscale et blanchiment de fraude fiscale à deux ans de prison ferme (peine aménagée en port d'un bracelet électronique) et deux ans avec sursis, cinq ans d'inéligibilité et 300 000 euros d'amende.
À partir de 2019, autorisé par l'ordre des médecins à pratiquer de nouveau la médecine, il travaille au centre hospitalier de Bonifacio."
29402583,0,Family of David Cameron,"Kirk Cameron est un acteur américain, né le 12 octobre 1970 dans le quartier de Panorama City à Los Angeles en Californie. Il se fait connaître grâce au rôle de Mike Seaver de Quoi de neuf docteur ? (1985–1992), et de leader de l'organisation chrétienne évangélique The Way of the Master. Il cofonde The Firefly Foundation avec sa femme Chelsea Noble (en)."
50109310,0,Newton Cardoso Jr.,
6526544,0,Rafael Caro Quintero,"Rafael Caro Quintero est un trafiquant de drogue mexicain né le 3 octobre 1952 à Badiraguato (Mexique), membre de la famille Caro Quintero.  Avec Miguel Ángel Félix Gallardo et d'autres trafiquants de drogue dans les années 1970, il a cofondé le Cartel de Guadalajara, aujourd'hui dissous. Son épouse est Maria Elizabeth Elenes Lerma. Il a été condamné à 40 ans de prison pour le meurtre d'un agent américain de la DEA au Mexique en 1985, avant d'être relâché en 2013,.
Il est sur la liste des Dix fugitifs les plus recherchés du FBI.
Il est cité dans l'affaire des Panama Papers en avril 2016."
50502342,0,Juan Luis Cebrián,"Juan Luis Cebrián Echarri (né à Madrid le 30 octobre 1944) est un journaliste et homme d'affaires espagnol, président du journal espagnol El País, du groupe de presse PRISA et président de sa commission exécutive. Il est membre du comité de direction du groupe Bilderberg."
50542055,0,Ronald Chagoury,
144936,0,Jackie Chan,"Jackie Chan, né Chan Kong-Sang le 7 avril 1954 à Hong Kong, est un acteur, chanteur, cascadeur, scénariste, réalisateur et producteur chinois.
Il est spécialiste en arts martiaux et est reconnu mondialement dans ses films d'action. Dans ses films, il est connu pour son style de combat, son sens de l'humour et ses cascades sensationnelles. Depuis les années 1970, il est apparu dans plus d'une centaine de films. Il a reçu une étoile sur le Hollywood Walk of Fame et l'Avenue des stars à Hong Kong. En tant qu'icône culturelle, il a été mentionné dans diverses chansons pop, dessins animés et jeux vidéo. En plus d'être acteur, il s'est essayé à la chanson dans les genres cantopop et mandopop, notamment sur le thème de ses films. Il a chanté lors de la cérémonie de clôture des Jeux olympiques d'été de 2008.
Jackie Chan est un homme d'affaires qui utilise son image dans différents domaines (ligne de vêtements, chaîne de cinémas, etc.) et il possède sa société de production (JCE Movies Limited), qui produit notamment ses films depuis 2005. Il est un important philanthrope, en dédiant une partie des bénéfices qu'il tire de ses activités du show business à des œuvres caritatives. Son autobiographie, I Am Jackie Chan, est sortie en 1998."
50063285,0,Frédéric Chatillon,"Frédéric Chatillon, né le 15 février 1968 à Armentières, est un chef d'entreprise et militant politique français.
Président du Groupe union défense (GUD) pendant ses études, il est ensuite patron de l'agence de communication Riwal, prestataire de services pour le Front national, le micro-parti Jeanne et le régime syrien de Bachar el-Assad. Il occupe également la fonction de conseiller de Marine Le Pen."
50542006,0,Adriano Chimento,
16864512,0,Galo Chiriboga,
5166632,0,Patokh Chodiev,"Patokh Chodiev (russe : Фаттох Каюмович Шодиев, Fattoh Kayumovich Shodiev), né le 15 avril 1953 à Jizzakh (République socialiste soviétique d'Ouzbékistan),  est un oligarque et homme d'affaires de nationalité belge et russe. Avec Alexander Mashkevich et Alijan Ibragimov, il bâtit sa fortune grâce à des opérations dans les minerais, le pétrole, le gaz et le secteur financier au Kazakhstan. En septembre 2017, Patokh Chodiev est classé no.1661 dans la liste des milliardaires dressée par Forbes, avec une richesse estimée à 1,84 milliard de dollars."
50069659,0,Jordi Cinca,"Jordi Cinca Mateos est un homme politique andorran, membre des Démocrates pour Andorre. Il est ministre des Finances de 2011 à 2019. 
Lorsque la droite remporte les élections anticipées de 2011, il devient ministre dans le gouvernement d'Antoni Martí. Il est remplacé au Conseil général par Josep Anton Bardina Pau.
Il est cité dans l'affaire des Panama Papers en avril 2016."
556903,0,Andy Cole,"Andrew Alexander Cole, né le 15 octobre 1971 à Nottingham (Angleterre), est un footballeur anglais. Cet attaquant fut international anglais. Il est plus connu comme Andy Cole (dans les années 1990), mais à partir des années 2000, il demanda qu'on l'appelle Andrew Cole."
18961719,0,Alberto Cortina,"Cortina d'Ampezzo est une commune de la province de Belluno en Vénétie (Italie) et station de ski des Dolomites ayant accueilli les Jeux olympiques d'hiver de 1956 et qui les organisera à nouveau en 2026, en compagnie de Milan."
276890,0,Simon Cowell,"Simon Cowell est un producteur de musique, scénariste, animateur de télévision, compositeur, réalisateur artistique et acteur britannique, né le 7 octobre 1959 à Londres. Il est notamment connu pour avoir initié One Direction et Fifth Harmony.
Il fait partie du jury des émissions télévisées Britain's Got Talent (depuis 2007) et America's Got Talent (depuis 2016). Son style direct, ainsi que ses remarques quant à la qualité de la prestation des candidats, font parfois polémique. Il fait partie du jury de l'émission American Idol de 2002 à 2011 et X Factor USA de 2011 à 2013. Après un passage entre 2004 et 2010 dans le jury de The X Factor au Royaume-Uni, il y revient en 2014 et en fait également partie depuis."
6018692,0,Àlex Crivillé,"Álex Crivillé, né le 4 mars 1970 à Seva (province de Barcelone), est un pilote de vitesse moto espagnol.
En 2002 il reçoit la Creu de Sant Jordi, distinction décernée par la Generalitat de Catalogne."
46276693,0,Eduardo Cunha,"Eduardo Cunha, né le 29 septembre 1958 à Rio de Janeiro (Brésil), est un économiste, homme de radio et homme d'État brésilien, président de la Chambre des députés de 2015 à 2016. Il est condamné à 15 ans de prison en 2017 pour corruption."
